Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q9_11,Q10,Q10_2_TEXT,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q20_2_TEXT,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_14,Q21_15,Q21_16,Q21_17,Q21_18,Q21_19,Q21_20,Q21_21,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_7,Q22_8,Q22_9,Q22_10,Q22_11,Q22_12,Q22_13,Q22_14,Q22_15,Q22_16,Q22_17,Q22_18,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q23_11,Q23_12,Q23_13,Q23_14,Q23_15,Q23_16,Q23_17,Q23_18,Q24_1,Q24_2,Q24_3,Q25_1,Q25_2,Q25_3,Q26_1,Q26_2,Q26_3,Q27_1,Q28_1,Q29,Q29_7_TEXT,Q30,Q30_7_TEXT
37,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,"Yes, please indicate how many children you have",3,Keeping my weight about the same   ,129,I'm fairly confident about my estimate   ,This week   ,63,,,185,124,"Yes, If Yes add box please briefly describe what is working for you",Watch what I eat and exercise at least 3-4 times/week,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Never,0,0,7,6,3,7,3,3,5,1,5,0,0,0,0,4,1,0,0,0,0,2,0,2,2,0,0,0,1,0,0,7,0,7,2,0,93,75,88,,,,,,,4,3,No  ,,No  ,
22,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Losing weight   ,136,I'm very confident about my estimate  ,This week   ,65,,,144,133,"Yes, If Yes add box please briefly describe what is working for you",healthy eating. exercising,Never,Never,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,6,6,7,7,7,2,7,7,3,3,,0,0,3,0,1,3,3,0,0,0,7,2,7,5,0,7,0,0,,0,3,0,7,7,0,70,70,70,100,100,100,100,60,10,4,2,No  ,,No  ,
32,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,"Yes, please indicate how many children you have",1,Losing weight   ,160,I'm fairly confident about my estimate   ,Over a week ago   ,66,,,170,140,"Yes, If Yes add box please briefly describe what is working for you","No sugar, low carbs, HIIT exercise program",Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,5,0,0,5,3,3,5,2,7,0,1,0,0,3,0,0,1,0,7,7,7,5,5,3,3,3,7,1,1,0,0,3,0,0,0,0,90,80,90,95,50,25,100,40,75,5,4,No  ,,No  ,
41,Male   ,4-year College Degree   ,Other   ,Yes   ,Normal weight,Married (Cohabiting),Somewhat disagree,Somewhat disagree,Strongly agree,Agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly Disagree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,165,I'm very confident about my estimate  ,Today   ,70,Significant relationship change ,Exercised at least 2 hours daily for weight loss   ,170,150,"Yes, If Yes add box please briefly describe what is working for you",Cardio exercise,Rarely,Never,Never,Never,Rarely,Never,Rarely,Rarely,Never,Rarely,Sometimes,Often,Rarely,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,7,6,0,5,7,7,2,0,7,7,0,0,0,1,0,4,4,0,2,3,0,7,1,0,1,0,5,5,7,0,0,7,2,2,4,2,100,100,77,100,,,18,31,,5,3,No  ,,No  ,
27,Male   ,Masters Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,"Yes, please indicate how many children you have",2,Keeping my weight about the same   ,185,I'm very confident about my estimate  ,This week   ,73,,,225,170,"Yes, If Yes add box please briefly describe what is working for you",,Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Never,Never,Often,Often,Sometimes,Never,Often,Often,Rarely,7,0,0,3,5,7,5,6,7,2,5,1,0,0,0,2,2,1,7,,0,3,4,6,6,7,7,1,7,0,0,2,0,4,1,0,90,91,91,72,52,24,71,59,10,4,5,No  ,,No  ,
26,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Disagree,Strongly agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,No,,Keeping my weight about the same   ,130,I have some doubts about my estimate   ,Over a month ago   ,66,,,140,110,,,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Rarely,0,0,0,5,3,3,1,1,6,0,4,0,0,1,0,4,2,1,0,0,0,0,3,3,6,0,6,0,1,0,0,0,0,6,2,0,54,53,52,95,53,,100,,,3,4,,,No  ,
32,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,200,I'm fairly confident about my estimate   ,Over a week ago   ,71,,Exercised at least 2 hours daily for weight loss   ,215,165,No  ,,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Never,Rarely,Sometimes,Rarely,2,0,0,6,3,5,4,4,2,0,0,0,0,5,0,2,4,0,0,0,0,5,3,4,4,4,3,0,0,0,0,7,0,3,6,0,81,60,70,50,37,13,34,26,24,3,3,No  ,,No  ,
27,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Disagree,Strongly Disagree,Disagree,Neither agree nor disagree,Agree,"Yes, please indicate how many children you have",2,Losing weight   ,210,I'm very confident about my estimate  ,This week   ,74,,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",225,185,"Yes, If Yes add box please briefly describe what is working for you",Tracking caloric intake ,Often,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Often,Rarely,6,5,5,3,2,2,3,5,5,1,5,2,0,,6,1,3,2,7,5,5,6,2,2,2,6,6,3,5,2,0,4,1,0,2,2,85,80,85,53,79,90,61,90,95,4,4,No  ,,No  ,
22,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,150,I'm fairly confident about my estimate   ,Over a month ago   ,68,"Started a medication with weight gain as a side effect   ,Significant relationship change ",,150,135,"Yes, If Yes add box please briefly describe what is working for you","working out, healthy eating",Sometimes,Rarely,Never,Rarely,Never,Rarely,Never,Rarely,Never,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Rarely,Never,4,0,0,4,7,5,7,4,7,0,0,1,0,2,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,80,85,90,90,4,1,1,1,5,,No  ,,No  ,
19,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Engaged,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat agree,Strongly agree,No,,Keeping my weight about the same   ,133,I'm fairly confident about my estimate   ,Over a week ago   ,63 inches,Significant relationship change ,,135,125,"Yes, If Yes add box please briefly describe what is working for you","Portion sizing, and taking an exercise class every semester. ",Sometimes,Sometimes,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Often,Sometimes,Often,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Often,Often,Rarely,3,2,1,3,3,5,7,6,6,0,3,0,0,0,0,0,2,1,4,0,0,4,3,6,7,7,6,2,4,0,0,2,0,3,1,0,90,100,85,80,50,30,70,80,31,4,3,No  ,,No  ,
28,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Underweight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,160,I'm fairly confident about my estimate   ,Over a month ago   ,75,,,160,130,No  ,,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Never,Never,Sometimes,Rarely,4,0,0,7,4,3,5,5,3,0,0,1,0,3,0,7,3,1,,,,,,,,,,,,,,,,,,,95,70,85,80,58,25,,0,,3,,No  ,,,
42,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Strongly Disagree,Strongly agree,Somewhat agree,Strongly Disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,"Yes, please indicate how many children you have",4,Losing weight   ,133,I'm very confident about my estimate  ,This week   ,65,,,179,118,"Yes, If Yes add box please briefly describe what is working for you",Weight Watchers--Tracking Food!!!,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Rarely,7,7,7,5,6,7,7,7,7,7,7,0,0,3,0,0,0,0,2,2,7,2,3,3,0,3,0,2,0,2,0,3,0,0,0,0,85,95,85,100,100,100,50,50,11,5,4,No  ,,No  ,
22,Female   ,Masters Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Disagree,Agree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Agree,"Yes, please indicate how many children you have",1.5,Keeping my weight about the same   ,122,I'm very confident about my estimate  ,This week   ,66,"Pregnancy   ,Significant relationship change ",,155 (not pregnant 130),110,No  ,,Rarely,Sometimes,Never,Sometimes,Never,Rarely,Rarely,Sometimes,Never,Never,Never,Sometimes,Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,,,,0,0,0,5,2,2,5,0,7,1,0,1,0,6,0,0,1,1,0,0,0,3,5,6,0,0,0,0,0,0,0,7,2,7,5,2,100,100,88,34,15,8,12,5,1,5,2,No  ,,No  ,
,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat agree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,No,,Gaining weight ,195,I'm very confident about my estimate  ,This week   ,72,"Started a medication with weight gain as a side effect   ,Significant relationship change ",,219,169,"Yes, If Yes add box please briefly describe what is working for you","Meal planning, limiting dairy, sugar, corn, wheat, and soy",Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Rarely,Rarely,Often,Never,Rarely,Never,Often,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Never,0,0,0,6,2,1,5,0,5,3,1,2,0,7,1,2,2,5,0,0,0,6,0,0,3,0,3,0,0,0,0,7,0,4,3,0,65,50,80,60,75,22,30,71,,4,4,No  ,,No  ,
25,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Obese,Married (Cohabiting),Strongly agree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,No,,Gaining weight ,200,I'm fairly confident about my estimate   ,Over a month ago   ,64,"Started a medication with weight gain as a side effect   ,Significant relationship change ","Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",205,170,No  ,,Rarely,Never,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,3,3,3,1,1,1,0,1,7,0,4,6,0,7,5,4,2,5,0,0,0,4,0,0,0,0,0,0,4,0,0,6,0,5,2,5,11,10,10,50,51,52,18,30,27,2,3,No  ,,No  ,
29,Male   ,Masters Degree   ,White/Caucasian   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat disagree,Agree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,"Yes, please indicate how many children you have",1,Losing weight   ,260,I'm very confident about my estimate  ,Over a week ago   ,75,,,273,180,"Yes, If Yes add box please briefly describe what is working for you",Eating smaller portions and exercise,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Never,Rarely,Often,Never,3,0,0,5,3,3,7,7,7,1,5,0,0,7,0,0,4,2,5,0,0,7,3,5,7,7,7,4,5,0,0,7,0,0,4,2,37,35,36,70,74,14,85,82,50,4,3,No  ,,No  ,
57,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Divorced/Separated,,,,,,,,,,,,"Yes, please indicate how many children you have",4,Keeping my weight about the same   ,164,I'm very confident about my estimate  ,Today   ,"5'4""",,,172,145,"Yes, If Yes add box please briefly describe what is working for you",Stay active,Never,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,3,3,0,6,3,4,4,5,3,6,5,3,0,3,0,0,0,2,,,,,,,,,,,,,,,,,,,93,80,83,78,12,7,,,,5,,No  ,,,
26,Female   ,4-year College Degree   ,Other   ,Yes   ,Overweight,Married (Cohabiting),Strongly agree,Strongly Disagree,Somewhat agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,150,I'm very confident about my estimate  ,Over a month ago   ,60 inches,"Pregnancy   ,Started a medication with weight gain as a side effect   ",,150,120,No  ,,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never,0,7,7,3,4,2,7,2,7,1,7,0,0,7,1,3,2,1,2,7,7,3,4,3,2,2,3,1,,2,0,4,2,7,3,3,72,60,70,50,50,30,77,47,21,4,1,No  ,,No  ,
27,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Disagree,Somewhat agree,Strongly agree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,143,I'm very confident about my estimate  ,This week   ,66,Pregnancy   ,,145,126,"Yes, If Yes add box please briefly describe what is working for you","Watch what I eat, sometimes exercise",Often,Often,Rarely,Rarely,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,2,0,0,7,6,0,6,0,4,5,5,0,0,4,1,2,1,3,0,0,0,2,3,1,6,0,7,1,3,0,0,0,0,2,1,0,86,83,86,31,5,2,28,10,1,3,3,No  ,,No  ,
27,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,"Yes, please indicate how many children you have",1,Gaining weight ,135,I'm very confident about my estimate  ,This week   ,68,"Significant medical experience impeding mobility   ,Significant relationship change ",Exercised at least 2 hours daily for weight loss   ,136,115,"Yes, If Yes add box please briefly describe what is working for you",Stop eating when I first feel any notion of being full.,Rarely,Sometimes,Rarely,Never,Never,Rarely,Never,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Never,4,0,0,3,7,7,7,5,2,1,3,0,0,7,0,7,2,0,4,0,0,3,7,7,7,6,7,1,5,0,0,6,0,1,1,0,90,90,85,50,40,,90,50,,4,3,No  ,,No  ,
32,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Gaining weight ,186,I'm very confident about my estimate  ,This week   ,72,,,186,166,No  ,,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never,Rarely,Never,Never,7,0,0,7,3,7,7,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100,71,77,4,0,0,0,0,3,1,No  ,,No  ,
,Female   ,2-year College Degree   ,White/Caucasian   ,No   ,Obese,Married (Cohabiting),Strongly agree,Strongly Disagree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,"Yes, please indicate how many children you have",4,Losing weight   ,200,I'm very confident about my estimate  ,This week   ,67,Significant medical experience impeding mobility   ,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",302,150,"Yes, If Yes add box please briefly describe what is working for you",Bariatric Surgery,Rarely,Sometimes,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Never,Sometimes,Sometimes,Never,Often,Sometimes,Often,Sometimes,Often,Sometimes,Often,Rarely,3,0,0,2,1,2,4,7,7,3,0,0,0,3,0,0,2,0,0,0,0,5,7,7,7,5,5,0,0,0,0,1,1,0,4,0,20,,20,90,100,20,100,80,,3,4,"Yes, Gastric sleeve",,No  ,
24,Female   ,4-year College Degree   ,Prefer not to answer ,Prefer not to answer,Overweight,Married (Cohabiting),Strongly agree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Disagree,Somewhat disagree,Agree,No,,Keeping my weight about the same   ,152,I'm very confident about my estimate  ,This week   ,62 inches,"Started a medication with weight gain as a side effect   ,Significant relationship change ","Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",160,124,No  ,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Often,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,4,5,5,6,3,2,4,5,5,2,5,0,0,6,7,1,2,3,0,0,0,3,0,0,2,0,0,2,0,0,0,3,0,6,3,1,26,8,50,69,41,56,8,4,8,2,4,No  ,,No  ,
,Male   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Keeping my weight about the same   ,149,I'm very confident about my estimate  ,Today   ,69,,,160,135,No  ,,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Never,Never,Never,Rarely,Rarely,Sometimes,Rarely,Often,Never,Rarely,Rarely,Never,Never,3,0,0,4,4,4,4,1,4,2,0,0,0,0,0,2,1,1,,,,,,,,,,,,,,,,,,,75,75,60,90,20,3,,,,4,,No  ,,,
20,Male   ,2-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Gaining weight ,180,I have no confidence in my estimate   ,Over a year ago ,77,,,185,150,No  ,,Sometimes,Rarely,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Often,Rarely,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,1,0,0,2,0,6,3,0,3,0,2,3,0,0,0,3,2,5,0,0,0,2,0,5,2,2,5,0,0,0,0,0,0,0,1,0,71,71,71,44,60,14,63,47,15,4,4,No  ,,No  ,
23,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Neither agree nor disagree,Disagree,Somewhat agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,No,,Keeping my weight about the same   ,140,I'm very confident about my estimate  ,Today   ,65,,"Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",140,135,"Yes, If Yes add box please briefly describe what is working for you",Mindful eating,Often,Often,Rarely,Rarely,Sometimes,Sometimes,Often,Often,Rarely,Never,Never,Rarely,Never,Rarely,Often,Often,Rarely,Rarely,Never,Often,Never,7,7,7,2,4,0,7,7,7,7,3,3,0,0,3,4,2,0,0,0,0,0,6,0,4,4,7,0,4,0,0,0,0,4,4,0,30,30,49,74,76,100,26,27,35,3,2,No  ,,No  ,
30,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Agree,Strongly agree,Somewhat disagree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Somewhat disagree,"Yes, please indicate how many children you have",,Keeping my weight about the same   ,130,I'm very confident about my estimate  ,Over a week ago   ,65,"Pregnancy   ,Started a medication with weight gain as a side effect   ,Significant relationship change ",,160,118,No  ,,Often,Often,Often,Sometimes,Often,Often,Never,Often,Often,Often,Never,Never,Never,Never,Never,Often,Rarely,Sometimes,Sometimes,Never,Often,1,0,0,0,0,1,6,6,6,1,3,6,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,7,91,91,91,92,92,,92,92,,2,1,No  ,,No  ,
22,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Disagree,Agree,Does not Apply to Me,Somewhat agree,Somewhat agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,No,,Keeping my weight about the same   ,155,I'm very confident about my estimate  ,This week   ,65,Significant relationship change ,,165,145,"Yes, If Yes add box please briefly describe what is working for you",Planning out meals at the beginning of the day; having a consistent exercise routine,Rarely,Sometimes,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Sometimes,Never,Never,Never,Never,Never,5,3,5,7,3,7,7,7,7,5,6,0,0,0,0,1,1,0,2,0,0,5,4,4,4,4,5,0,0,0,0,0,0,0,0,0,80,80,90,93,95,95,91,83,92,4,4,No  ,,No  ,
41,Male   ,4-year College Degree   ,Native American   ,No   ,Overweight,Married (Cohabiting),Strongly agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,"Yes, please indicate how many children you have",3,Gaining weight ,198,I'm very confident about my estimate  ,Over a year ago ,8-May,"Significant medical experience impeding mobility   ,Significant relationship change ","Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",200,112,"Yes, If Yes add box please briefly describe what is working for you",Run when I wasn?t injured,Sometimes,Sometimes,Sometimes,Rarely,Never,Never,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Never,Rarely,Often,Rarely,Rarely,Rarely,Rarely,Rarely,Often,5,1,0,5,0,0,2,3,5,0,1,4,0,1,5,4,4,4,2,0,0,3,0,0,1,1,1,0,0,0,0,3,2,4,4,4,50,30,30,15,75,40,30,90,90,3,3,No  ,,No  ,
23,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Disagree,Agree,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,No,,Keeping my weight about the same   ,135,I'm fairly confident about my estimate   ,Over a week ago   ,66,Significant relationship change ,,140,125,"Yes, If Yes add box please briefly describe what is working for you",Regular workouts through the week and eating more nutrient dense vegetables.,Rarely,Often,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Sometimes,Rarely,Never,Rarely,Sometimes,Sometimes,Often,Often,Sometimes,Rarely,Sometimes,Rarely,3,0,0,3,4,5,2,3,5,0,3,0,0,4,0,0,3,1,0,0,0,4,2,5,1,6,6,0,0,0,0,5,0,6,3,0,100,100,80,60,75,4,20,50,4,4,5,No  ,,No  ,
28,Male   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Married (Cohabiting),Strongly agree,Strongly Disagree,Agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,"Yes, please indicate how many children you have",1,Keeping my weight about the same   ,185,I'm very confident about my estimate  ,Today   ,73,"Significant medical experience impeding mobility   ,Significant relationship change ",Exercised at least 2 hours daily for weight loss   ,195,155,"Yes, If Yes add box please briefly describe what is working for you",going to the gym and eating a health well portioned meal,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Often,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Never,0,0,0,4,5,1,7,4,7,2,2,0,0,5,0,5,3,0,3,0,0,5,2,3,2,1,6,7,2,0,0,5,0,2,3,0,92,88,100,93,79,18,85,48,18,4,3,No  ,,No  ,
25,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Obese,Married (Cohabiting),Strongly agree,Strongly Disagree,Disagree,Does not Apply to Me,Somewhat disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Agree,No,,Gaining weight ,215,I'm very confident about my estimate  ,This week   ,63,Significant relationship change ,,215,150,"Yes, If Yes add box please briefly describe what is working for you",Paleo or Low carb (keto) and 30 min of exercise daily (when I actually do it) ,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Never,Never,Never,Never,Sometimes,Never,Often,Sometimes,Rarely,Often,Rarely,Never,5,0,0,5,1,5,4,5,7,1,0,1,0,6,2,0,6,2,1,0,0,3,5,5,0,2,3,2,0,2,0,6,0,2,6,5,81,20,49,72,62,54,40,53,9,2,2,No  ,,No  ,
22,Female   ,4-year College Degree   ,White/Caucasian   ,No   ,Normal weight,Never Married  ,,,,,,,,,,,,No,,Losing weight   ,110,I'm very confident about my estimate  ,This week   ,61.5,"Significant medical experience impeding mobility   ,Significant relationship change ","Used a very low calorie diet for weight loss (less than 1,200 calories daily)   ",120,98,No  ,,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Sometimes,Rarely,Often,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,2,2,3,2,3,3,7,7,7,1,0,2,0,3,7,1,1,0,4,6,6,3,4,7,7,7,5,0,7,0,0,0,0,1,1,0,65,100,74,100,100,100,100,100,100,4,3,No  ,,No  ,
